common.name,species.name,1910,1912,1913,1914,1915,1916,1920,1922,1923,1924,1925,1928,1930,1931,1937,1938,1939,1940,1942,1943,1944,1945,1946,1947,1948,1949,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
Northern Shrike,Lanius excubitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gull sp.,Larinae sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,24,1,1
Herring Gull,Larus argentatus,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,3,1,0
Ring-billed Gull,Larus delawarensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,0,1,28,2,0
Hooded Merganser,Lophodytes cucullatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,3,3,24,4,6,4,4,0,2
Red Crossbill,Loxia curvirostra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,44,0,0,88,0,0,39,17,0,0,0,0,0,6,0,8,2,0,0,0
White-winged Crossbill,Loxia leucoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,21,5,0,0,0,0,0,0,0,2,0,0,0,0
Belted Kingfisher,Megaceryle alcyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,2,1,1,1,3,4,8,8,11,19,5,7,16,6,18,10,17,7,10,13,17,16,19,16,20,19,22
Eastern Screech-Owl,Megascops asio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,7,15
screech-owl sp.,Megascops sp.,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,1,1,2,0,1,0,0,1,1,3,2,0,1,0,3,0,0,3,3,1,7,3,7,4,5,5,12,17,30,25,34,57,34,26,4,12,14,17,12,0,0,0,0
